[0.000000] (-) TimerEvent: {}
[0.000663] (trover_communication) JobQueued: {'identifier': 'trover_communication', 'dependencies': OrderedDict()}
[0.000720] (trover_description) JobQueued: {'identifier': 'trover_description', 'dependencies': OrderedDict()}
[0.000849] (trover_drivers) JobQueued: {'identifier': 'trover_drivers', 'dependencies': OrderedDict()}
[0.000876] (trover_navigation) JobQueued: {'identifier': 'trover_navigation', 'dependencies': OrderedDict()}
[0.000898] (trover_slam) JobQueued: {'identifier': 'trover_slam', 'dependencies': OrderedDict()}
[0.000916] (trover_state_estimation) JobQueued: {'identifier': 'trover_state_estimation', 'dependencies': OrderedDict()}
[0.001035] (trover_bringup) JobQueued: {'identifier': 'trover_bringup', 'dependencies': OrderedDict([('trover_description', '/home/elizabeth/MREN203_Trover/install/trover_description'), ('trover_navigation', '/home/elizabeth/MREN203_Trover/install/trover_navigation'), ('trover_slam', '/home/elizabeth/MREN203_Trover/install/trover_slam'), ('trover_state_estimation', '/home/elizabeth/MREN203_Trover/install/trover_state_estimation')])}
[0.001081] (trover_description) JobStarted: {'identifier': 'trover_description'}
[0.017747] (trover_navigation) JobStarted: {'identifier': 'trover_navigation'}
[0.046568] (trover_description) JobProgress: {'identifier': 'trover_description', 'progress': 'cmake'}
[0.050135] (trover_description) JobProgress: {'identifier': 'trover_description', 'progress': 'build'}
