[0.000000] (-) TimerEvent: {}
[0.031918] (trover_communication) JobQueued: {'identifier': 'trover_communication', 'dependencies': OrderedDict()}
[0.032071] (trover_description) JobQueued: {'identifier': 'trover_description', 'dependencies': OrderedDict()}
[0.032099] (trover_drivers) JobQueued: {'identifier': 'trover_drivers', 'dependencies': OrderedDict()}
[0.032119] (trover_navigation) JobQueued: {'identifier': 'trover_navigation', 'dependencies': OrderedDict()}
[0.032189] (trover_slam) JobQueued: {'identifier': 'trover_slam', 'dependencies': OrderedDict()}
[0.032219] (trover_state_estimation) JobQueued: {'identifier': 'trover_state_estimation', 'dependencies': OrderedDict()}
[0.032239] (trover_bringup) JobQueued: {'identifier': 'trover_bringup', 'dependencies': OrderedDict([('trover_description', '/home/elizabeth/MREN203_Trover/install/trover_description'), ('trover_navigation', '/home/elizabeth/MREN203_Trover/install/trover_navigation'), ('trover_slam', '/home/elizabeth/MREN203_Trover/install/trover_slam'), ('trover_state_estimation', '/home/elizabeth/MREN203_Trover/install/trover_state_estimation')])}
[0.032301] (trover_description) JobStarted: {'identifier': 'trover_description'}
[0.104377] (-) TimerEvent: {}
[0.116166] (trover_navigation) JobStarted: {'identifier': 'trover_navigation'}
[0.177174] (trover_description) JobProgress: {'identifier': 'trover_description', 'progress': 'cmake'}
[0.186181] (trover_description) JobProgress: {'identifier': 'trover_description', 'progress': 'build'}
